match_id,match,city,home_team,away_team,home_support,away_support,net_home_adv_goals,rationale
384cbb5d76b535896a24fe65f93cfac8,South Korea vs Czech Republic,Guadalajara,South Korea,Czech Republic,0.05,0.0,0.017,Guadalajara: no strong diaspora edge for either side (near-neutral) -> net favours South Korea (+0.02).
d1f4f946c70a0b4e81f5d43e9d32361c,Canada vs Bosnia & Herzegovina,Toronto,Canada,Bosnia & Herzegovina,0.9,0.25,0.227,Canada plays at home in Canada (true home crowd); Bosnia & Herzegovina has a modest local following in Toronto -> net favours Canada (+0.23).
c12986f447a515fbe641addd786dbb24,USA vs Paraguay,Los Angeles (Inglewood),USA,Paraguay,0.95,0.1,0.297,USA plays at home in USA (true home crowd); Paraguay has a modest local following in Los Angeles (Inglewood) -> net favours USA (+0.30).
26634922d3f78c146440816023e40de8,Qatar vs Switzerland,San Francisco Bay Area,Qatar,Switzerland,0.0,0.1,-0.035,Switzerland has a modest local following in San Francisco Bay Area -> net favours Switzerland (-0.04 to Qatar).
f6c8748a16516e0998f95de14235432a,Brazil vs Morocco,New York/New Jersey,Brazil,Morocco,0.3,0.2,0.035,Brazil has a strong local diaspora in New York/New Jersey; Morocco has a modest local following in New York/New Jersey -> net favours Brazil (+0.04).
5ae41a06735c926eeb7f74006933adce,Haiti vs Scotland,Boston (Foxborough),Haiti,Scotland,0.35,0.15,0.07,Haiti has a strong local diaspora in Boston (Foxborough); Scotland has a modest local following in Boston (Foxborough) -> net favours Haiti (+0.07).
564084f52cc9f1abcc18187c168a7cdc,Australia vs Turkey,Vancouver,Australia,Turkey,0.15,0.1,0.017,Australia has a modest local following in Vancouver; Turkey has a modest local following in Vancouver -> net favours Australia (+0.02).
d79edbd6aaeb578d33e313446b18d333,Germany vs Curaçao,Houston,Germany,Curaçao,0.0,0.0,0.0,Houston: no strong diaspora edge for either side (near-neutral) -> balanced (~0).
32ec06abda2398ac41501c86eb9aa376,Netherlands vs Japan,Dallas (Arlington),Netherlands,Japan,0.0,0.0,0.0,Dallas (Arlington): no strong diaspora edge for either side (near-neutral) -> balanced (~0).
05752bb341e197001387b64f3a06b9b2,Ivory Coast vs Ecuador,Philadelphia,Ivory Coast,Ecuador,0.1,0.0,0.035,Ivory Coast has a modest local following in Philadelphia -> net favours Ivory Coast (+0.04).
b55f9569de3f4d731bc5537ff5ff43e4,Sweden vs Tunisia,Monterrey,Sweden,Tunisia,0.0,0.0,0.0,Monterrey: no strong diaspora edge for either side (near-neutral) -> balanced (~0).
c54f00b11925751d2b62988775c6c239,Spain vs Cape Verde,Atlanta,Spain,Cape Verde,0.1,0.0,0.035,Spain has a modest local following in Atlanta -> net favours Spain (+0.04).
fbfb95c62003fd6d828b309f96ee1f9b,Belgium vs Egypt,Seattle,Belgium,Egypt,0.0,0.15,-0.052,Egypt has a modest local following in Seattle -> net favours Egypt (-0.05 to Belgium).
64b91c5f2db61c7358a4f05459e83c52,Saudi Arabia vs Uruguay,Miami (Miami Gardens),Saudi Arabia,Uruguay,0.05,0.25,-0.07,Uruguay has a modest local following in Miami (Miami Gardens) -> net favours Uruguay (-0.07 to Saudi Arabia).
ec51b9c44ad5e34552f3ab53f7262813,Iran vs New Zealand,Los Angeles (Inglewood),Iran,New Zealand,0.4,0.0,0.14,Iran has a strong local diaspora in Los Angeles (Inglewood) -> net favours Iran (+0.14).
73a4fcd14cc9766b9b9bfd50b8ca153a,France vs Senegal,New York/New Jersey,France,Senegal,0.1,0.3,-0.07,France has a modest local following in New York/New Jersey; Senegal has a strong local diaspora in New York/New Jersey -> net favours Senegal (-0.07 to France).
4d4f2b9b78182b557d4fbf8dcf4f4af2,Iraq vs Norway,Boston (Foxborough),Iraq,Norway,0.0,0.05,-0.017,Boston (Foxborough): no strong diaspora edge for either side (near-neutral) -> net favours Norway (-0.02 to Iraq).
f31b2ee9e1cc6f7e641467f8237eaa21,Argentina vs Algeria,Kansas City,Argentina,Algeria,0.1,0.0,0.035,Argentina has a modest local following in Kansas City -> net favours Argentina (+0.04).
25161cf6cf0cd9be17ae2e7e224a1f45,Austria vs Jordan,San Francisco Bay Area,Austria,Jordan,0.0,0.0,0.0,San Francisco Bay Area: no strong diaspora edge for either side (near-neutral) -> balanced (~0).
6cc871c121a1869b4612d3fb22fa9d55,Portugal vs DR Congo,Houston,Portugal,DR Congo,0.0,0.05,-0.017,Houston: no strong diaspora edge for either side (near-neutral) -> net favours DR Congo (-0.02 to Portugal).
689096c8cd7e2753b9fec95321943c5d,England vs Croatia,Dallas (Arlington),England,Croatia,0.0,0.1,-0.035,Croatia has a modest local following in Dallas (Arlington) -> net favours Croatia (-0.04 to England).
87afdb85c977b451e1c00f5e3e632601,Ghana vs Panama,Toronto,Ghana,Panama,0.2,0.1,0.035,Ghana has a modest local following in Toronto; Panama has a modest local following in Toronto -> net favours Ghana (+0.04).
22083e7a8e5362c711bc05c1e1319a1f,Uzbekistan vs Colombia,Mexico City,Uzbekistan,Colombia,0.0,0.15,-0.052,Colombia has a modest local following in Mexico City -> net favours Colombia (-0.05 to Uzbekistan).
66ebb9e3f949caded535d97ce686ca09,Czech Republic vs South Africa,Atlanta,Czech Republic,South Africa,0.0,0.1,-0.035,South Africa has a modest local following in Atlanta -> net favours South Africa (-0.04 to Czech Republic).
289bc2e9f5adad8ae4d9a75a7c5461ad,Switzerland vs Bosnia & Herzegovina,Los Angeles (Inglewood),Switzerland,Bosnia & Herzegovina,0.0,0.0,0.0,Los Angeles (Inglewood): no strong diaspora edge for either side (near-neutral) -> balanced (~0).
fa9502285b257b03e62968d50d9229fc,Canada vs Qatar,Vancouver,Canada,Qatar,0.9,0.05,0.297,Canada plays at home in Canada (true home crowd) -> net favours Canada (+0.30).
0f2aeae6ac8e77223848d23a4ca86b0d,Mexico vs South Korea,Guadalajara,Mexico,South Korea,1.0,0.05,0.332,Mexico plays at home in Mexico (true home crowd) -> net favours Mexico (+0.33).
065b3573e875f8d23803357f73e5b99e,USA vs Australia,Seattle,USA,Australia,0.95,0.0,0.332,USA plays at home in USA (true home crowd) -> net favours USA (+0.33).
