team,player,position,status,severity,note
Brazil,Neymar,Left Winger,out,0.55,"ESPN tracker/match preview 2026-06-11: right calf strain, ruled out of opener vs Morocco; may return later in group"
Brazil,Wesley,Right-Back,out,0.45,"FOX/ESPN 2026-06-07: left thigh muscle injury, replaced on roster by Eder Silva"
Brazil,Eder Militao,Centre-Back,out,0.65,"ESPN tracker 2026-06: hamstring tear requiring surgery, out of tournament"
Brazil,Rodrygo,Winger,out,0.6,"ESPN/Goal 2026: torn ACL+meniscus (March), out for 2026"
Brazil,Estevao,Winger,out,0.5,"ESPN tracker 2026: torn hamstring, ruled out of tournament"
Morocco,Nayef Aguerd,Centre-Back,out,0.75,ESPN match preview 2026-06-11: ruled out of tournament (injury)
Morocco,Abde Ezzalzouli,Winger,out,0.6,"ESPN/Flashscore 2026-06: knee injury, ruled out of tournament"
Morocco,Noussair Mazraoui,Right-Back,doubtful,0.45,"ESPN match preview 2026-06-11: shoulder injury in recent friendly, doubtful for opener"
Morocco,Anass Salah-Eddine,Left-Back,doubtful,0.3,ESPN match preview 2026-06-11: injury doubt for opener
Morocco,Chemsdine Talbi,Winger,doubtful,0.3,ESPN match preview 2026-06-11: injury doubt for opener
Netherlands,Jurrien Timber,Centre-Back,out,0.6,"ESPN tracker 2026: groin strain, ruled out"
Netherlands,Xavi Simons,Attacking Midfield,out,0.7,"ESPN/Goal 2026: torn ACL (April, at Tottenham), out"
Netherlands,Jerdy Schouten,Defensive Midfield,out,0.5,"ESPN tracker 2026: torn ACL, ruled out"
Netherlands,Matthijs de Ligt,Centre-Back,out,0.7,"ESPN/Goal 2026: back injury requiring surgery, ruled out"
Japan,Kaoru Mitoma,Left Winger,out,0.7,"ESPN/Goal 2026: torn hamstring, ruled out"
Japan,Takumi Minamino,Forward,out,0.55,"ESPN/Goal 2026: torn ACL (December), ruled out"
Japan,Wataru Endo,Defensive Midfield,doubtful,0.35,"ESPN tracker 2026: ruptured ankle ligaments, back on grass hoping to play"
Germany,Serge Gnabry,Right Winger,out,0.55,"ESPN/Goal 2026: torn adductor (April), ruled out"
Germany,Marc-Andre ter Stegen,Goalkeeper,out,0.45,"ESPN tracker 2026: torn thigh muscle, ruled out"
Germany,Lennart Karl,Attacking Midfield,out,0.3,"ESPN tracker 2026: torn thigh muscle, ruled out"
USA,Johnny Cardoso,Defensive Midfield,out,0.55,"ESPN/Goal 2026: high-grade ankle sprain / surgery (May), ruled out"
USA,Patrick Agyemang,Forward,out,0.4,"ESPN/Goal 2026: torn Achilles (April), ruled out"
USA,Chris Richards,Centre-Back,doubtful,0.3,"ESPN/Covers 2026: torn ankle ligaments, expected match-fit soon"
